Date,Day of Week,Weekday / Saturday / Sunday,Holiday,Mode,Entries Or Boardings
4/3/2024 12:00:00 AM,Wed,Weekday,No,Bus,359145
4/2/2024 12:00:00 AM,Tue,Weekday,No,Rail,456903
4/2/2024 12:00:00 AM,Tue,Weekday,No,Bus,373077
4/1/2024 12:00:00 AM,Mon,Weekday,No,Rail,399520
4/1/2024 12:00:00 AM,Mon,Weekday,No,Bus,349298
3/31/2024 12:00:00 AM,Sun,Sunday,No,Rail,231879
3/31/2024 12:00:00 AM,Sun,Sunday,No,Bus,188180
3/30/2024 12:00:00 AM,Sat,Saturday,No,Rail,386791
3/30/2024 12:00:00 AM,Sat,Saturday,No,Bus,255250
3/29/2024 12:00:00 AM,Fri,Weekday,No,Rail,430535
3/29/2024 12:00:00 AM,Fri,Weekday,No,Bus,365722
3/28/2024 12:00:00 AM,Thu,Weekday,No,Rail,437480
3/28/2024 12:00:00 AM,Thu,Weekday,No,Bus,359943
3/27/2024 12:00:00 AM,Wed,Weekday,No,Rail,444318
3/27/2024 12:00:00 AM,Wed,Weekday,No,Bus,342594
3/26/2024 12:00:00 AM,Tue,Weekday,No,Rail,495113
3/26/2024 12:00:00 AM,Tue,Weekday,No,Bus,380242
3/25/2024 12:00:00 AM,Mon,Weekday,No,Rail,429718
3/25/2024 12:00:00 AM,Mon,Weekday,No,Bus,369527
3/24/2024 12:00:00 AM,Sun,Sunday,No,Rail,311258
3/24/2024 12:00:00 AM,Sun,Sunday,No,Bus,192431
3/23/2024 12:00:00 AM,Sat,Saturday,No,Rail,264202
3/23/2024 12:00:00 AM,Sat,Saturday,No,Bus,205942
3/22/2024 12:00:00 AM,Fri,Weekday,No,Rail,428788
3/22/2024 12:00:00 AM,Fri,Weekday,No,Bus,359829
3/21/2024 12:00:00 AM,Thu,Weekday,No,Rail,467585
3/21/2024 12:00:00 AM,Thu,Weekday,No,Bus,379805
3/20/2024 12:00:00 AM,Wed,Weekday,No,Rail,498320
3/20/2024 12:00:00 AM,Wed,Weekday,No,Bus,394240
3/19/2024 12:00:00 AM,Tue,Weekday,No,Rail,463255
3/19/2024 12:00:00 AM,Tue,Weekday,No,Bus,381209
3/18/2024 12:00:00 AM,Mon,Weekday,No,Rail,382020
3/18/2024 12:00:00 AM,Mon,Weekday,No,Bus,364689
3/17/2024 12:00:00 AM,Sun,Sunday,No,Rail,235834
3/17/2024 12:00:00 AM,Sun,Sunday,No,Bus,194145
3/16/2024 12:00:00 AM,Sat,Saturday,No,Rail,366269
3/16/2024 12:00:00 AM,Sat,Saturday,No,Bus,241194
3/15/2024 12:00:00 AM,Fri,Weekday,No,Rail,377987
3/15/2024 12:00:00 AM,Fri,Weekday,No,Bus,337552
3/14/2024 12:00:00 AM,Thu,Weekday,No,Rail,461387
3/14/2024 12:00:00 AM,Thu,Weekday,No,Bus,368123
3/13/2024 12:00:00 AM,Wed,Weekday,No,Rail,474585
3/13/2024 12:00:00 AM,Wed,Weekday,No,Bus,387346
3/12/2024 12:00:00 AM,Tue,Weekday,No,Rail,455615
3/12/2024 12:00:00 AM,Tue,Weekday,No,Bus,386565
3/11/2024 12:00:00 AM,Mon,Weekday,No,Rail,358989
3/11/2024 12:00:00 AM,Mon,Weekday,No,Bus,351367
3/10/2024 12:00:00 AM,Sun,Sunday,No,Rail,192257
3/10/2024 12:00:00 AM,Sun,Sunday,No,Bus,176634
3/9/2024 12:00:00 AM,Sat,Saturday,No,Rail,234873
3/9/2024 12:00:00 AM,Sat,Saturday,No,Bus,204108
3/8/2024 12:00:00 AM,Fri,Weekday,No,Rail,375159
3/8/2024 12:00:00 AM,Fri,Weekday,No,Bus,365118
3/7/2024 12:00:00 AM,Thu,Weekday,No,Rail,432704
3/7/2024 12:00:00 AM,Thu,Weekday,No,Bus,387382
3/6/2024 12:00:00 AM,Wed,Weekday,No,Rail,433724
3/6/2024 12:00:00 AM,Wed,Weekday,No,Bus,368273
3/5/2024 12:00:00 AM,Tue,Weekday,No,Rail,424731
3/5/2024 12:00:00 AM,Tue,Weekday,No,Bus,371192
3/4/2024 12:00:00 AM,Mon,Weekday,No,Rail,353199
3/4/2024 12:00:00 AM,Mon,Weekday,No,Bus,369542
3/3/2024 12:00:00 AM,Sun,Sunday,No,Rail,196613
3/3/2024 12:00:00 AM,Sun,Sunday,No,Bus,196100
3/2/2024 12:00:00 AM,Sat,Saturday,No,Rail,216796
3/2/2024 12:00:00 AM,Sat,Saturday,No,Bus,220741
3/1/2024 12:00:00 AM,Fri,Weekday,No,Rail,360968
3/1/2024 12:00:00 AM,Fri,Weekday,No,Bus,382892
2/29/2024 12:00:00 AM,Thu,Weekday,No,Rail,408533
2/29/2024 12:00:00 AM,Thu,Weekday,No,Bus,387419
2/28/2024 12:00:00 AM,Wed,Weekday,No,Rail,410410
2/28/2024 12:00:00 AM,Wed,Weekday,No,Bus,371919
2/27/2024 12:00:00 AM,Tue,Weekday,No,Rail,422330
2/27/2024 12:00:00 AM,Tue,Weekday,No,Bus,382251
2/26/2024 12:00:00 AM,Mon,Weekday,No,Rail,353798
2/26/2024 12:00:00 AM,Mon,Weekday,No,Bus,383616
2/25/2024 12:00:00 AM,Sun,Sunday,No,Rail,169496
2/25/2024 12:00:00 AM,Sun,Sunday,No,Bus,195638
2/24/2024 12:00:00 AM,Sat,Saturday,No,Rail,233525
2/24/2024 12:00:00 AM,Sat,Saturday,No,Bus,232576
2/23/2024 12:00:00 AM,Fri,Weekday,No,Rail,335027
2/23/2024 12:00:00 AM,Fri,Weekday,No,Bus,366948
2/22/2024 12:00:00 AM,Thu,Weekday,No,Rail,406061
2/22/2024 12:00:00 AM,Thu,Weekday,No,Bus,373844
2/21/2024 12:00:00 AM,Wed,Weekday,No,Rail,416179
2/21/2024 12:00:00 AM,Wed,Weekday,No,Bus,391466
2/20/2024 12:00:00 AM,Tue,Weekday,No,Rail,407558
2/20/2024 12:00:00 AM,Tue,Weekday,No,Bus,379240
2/19/2024 12:00:00 AM,Mon,Weekday,Yes,Rail,212116
2/19/2024 12:00:00 AM,Mon,Weekday,Yes,Bus,238970
2/18/2024 12:00:00 AM,Sun,Sunday,No,Rail,188469
2/18/2024 12:00:00 AM,Sun,Sunday,No,Bus,188966
2/17/2024 12:00:00 AM,Sat,Saturday,No,Rail,220632
2/17/2024 12:00:00 AM,Sat,Saturday,No,Bus,205716
2/16/2024 12:00:00 AM,Fri,Weekday,No,Rail,327404
2/16/2024 12:00:00 AM,Fri,Weekday,No,Bus,343608
2/15/2024 12:00:00 AM,Thu,Weekday,No,Rail,396617
2/15/2024 12:00:00 AM,Thu,Weekday,No,Bus,372604
2/14/2024 12:00:00 AM,Wed,Weekday,No,Rail,424170
2/14/2024 12:00:00 AM,Wed,Weekday,No,Bus,393959
2/13/2024 12:00:00 AM,Tue,Weekday,No,Rail,397530
2/13/2024 12:00:00 AM,Tue,Weekday,No,Bus,359408
2/12/2024 12:00:00 AM,Mon,Weekday,No,Rail,333785
2/12/2024 12:00:00 AM,Mon,Weekday,No,Bus,358531
2/11/2024 12:00:00 AM,Sun,Sunday,No,Rail,169947
2/11/2024 12:00:00 AM,Sun,Sunday,No,Bus,181381
2/10/2024 12:00:00 AM,Sat,Saturday,No,Rail,247704
2/10/2024 12:00:00 AM,Sat,Saturday,No,Bus,238077
2/9/2024 12:00:00 AM,Fri,Weekday,No,Rail,342182
2/9/2024 12:00:00 AM,Fri,Weekday,No,Bus,373483
2/8/2024 12:00:00 AM,Thu,Weekday,No,Rail,401948
2/8/2024 12:00:00 AM,Thu,Weekday,No,Bus,381572
2/7/2024 12:00:00 AM,Wed,Weekday,No,Rail,423627
2/7/2024 12:00:00 AM,Wed,Weekday,No,Bus,386250
2/6/2024 12:00:00 AM,Tue,Weekday,No,Rail,421283
2/6/2024 12:00:00 AM,Tue,Weekday,No,Bus,382670
2/5/2024 12:00:00 AM,Mon,Weekday,No,Rail,337974
2/5/2024 12:00:00 AM,Mon,Weekday,No,Bus,373365
2/4/2024 12:00:00 AM,Sun,Sunday,No,Rail,166535
2/4/2024 12:00:00 AM,Sun,Sunday,No,Bus,193264
2/3/2024 12:00:00 AM,Sat,Saturday,No,Rail,221649
2/3/2024 12:00:00 AM,Sat,Saturday,No,Bus,238639
2/2/2024 12:00:00 AM,Fri,Weekday,No,Rail,341149
2/2/2024 12:00:00 AM,Fri,Weekday,No,Bus,363698
2/1/2024 12:00:00 AM,Thu,Weekday,No,Rail,399901
2/1/2024 12:00:00 AM,Thu,Weekday,No,Bus,390101
1/31/2024 12:00:00 AM,Wed,Weekday,No,Rail,416425
1/31/2024 12:00:00 AM,Wed,Weekday,No,Bus,396046
1/30/2024 12:00:00 AM,Tue,Weekday,No,Rail,409147
1/30/2024 12:00:00 AM,Tue,Weekday,No,Bus,400158
1/29/2024 12:00:00 AM,Mon,Weekday,No,Rail,335873
1/29/2024 12:00:00 AM,Mon,Weekday,No,Bus,379019
1/28/2024 12:00:00 AM,Sun,Sunday,No,Rail,155048
1/28/2024 12:00:00 AM,Sun,Sunday,No,Bus,167066
1/27/2024 12:00:00 AM,Sat,Saturday,No,Rail,239371
1/27/2024 12:00:00 AM,Sat,Saturday,No,Bus,235534
1/26/2024 12:00:00 AM,Fri,Weekday,No,Rail,344316
1/26/2024 12:00:00 AM,Fri,Weekday,No,Bus,372549
1/25/2024 12:00:00 AM,Thu,Weekday,No,Rail,395688
1/25/2024 12:00:00 AM,Thu,Weekday,No,Bus,379973
1/24/2024 12:00:00 AM,Wed,Weekday,No,Rail,418101
1/24/2024 12:00:00 AM,Wed,Weekday,No,Bus,389980
1/23/2024 12:00:00 AM,Tue,Weekday,No,Rail,409367
1/23/2024 12:00:00 AM,Tue,Weekday,No,Bus,383345
1/22/2024 12:00:00 AM,Mon,Weekday,No,Rail,328633
1/22/2024 12:00:00 AM,Mon,Weekday,No,Bus,359702
1/21/2024 12:00:00 AM,Sun,Sunday,No,Rail,154981
1/21/2024 12:00:00 AM,Sun,Sunday,No,Bus,155334
1/20/2024 12:00:00 AM,Sat,Saturday,No,Rail,202740
1/20/2024 12:00:00 AM,Sat,Saturday,No,Bus,177602
1/19/2024 12:00:00 AM,Fri,Weekday,No,Rail,236441
1/19/2024 12:00:00 AM,Fri,Weekday,No,Bus,153085
1/18/2024 12:00:00 AM,Thu,Weekday,No,Rail,404687
1/18/2024 12:00:00 AM,Thu,Weekday,No,Bus,367686
1/17/2024 12:00:00 AM,Wed,Weekday,No,Rail,345527
1/17/2024 12:00:00 AM,Wed,Weekday,No,Bus,316683
1/16/2024 12:00:00 AM,Tue,Weekday,No,Rail,179388
1/16/2024 12:00:00 AM,Tue,Weekday,No,Bus,156023
1/15/2024 12:00:00 AM,Mon,Weekday,Yes,Rail,162202
1/15/2024 12:00:00 AM,Mon,Weekday,Yes,Bus,162715
1/14/2024 12:00:00 AM,Sun,Sunday,No,Rail,149764
1/14/2024 12:00:00 AM,Sun,Sunday,No,Bus,168776
1/13/2024 12:00:00 AM,Sat,Saturday,No,Rail,241681
1/13/2024 12:00:00 AM,Sat,Saturday,No,Bus,226586
1/12/2024 12:00:00 AM,Fri,Weekday,No,Rail,297905
1/12/2024 12:00:00 AM,Fri,Weekday,No,Bus,369660
1/11/2024 12:00:00 AM,Thu,Weekday,No,Rail,390910
1/11/2024 12:00:00 AM,Thu,Weekday,No,Bus,393645
1/10/2024 12:00:00 AM,Wed,Weekday,No,Rail,393620
1/10/2024 12:00:00 AM,Wed,Weekday,No,Bus,389647
1/9/2024 12:00:00 AM,Tue,Weekday,No,Rail,330677
1/9/2024 12:00:00 AM,Tue,Weekday,No,Bus,304159
1/8/2024 12:00:00 AM,Mon,Weekday,No,Rail,323799
1/8/2024 12:00:00 AM,Mon,Weekday,No,Bus,375244
1/7/2024 12:00:00 AM,Sun,Sunday,No,Rail,160111
1/7/2024 12:00:00 AM,Sun,Sunday,No,Bus,177534
1/6/2024 12:00:00 AM,Sat,Saturday,No,Rail,145685
1/6/2024 12:00:00 AM,Sat,Saturday,No,Bus,169348
1/5/2024 12:00:00 AM,Fri,Weekday,No,Rail,300225
1/5/2024 12:00:00 AM,Fri,Weekday,No,Bus,358777
1/4/2024 12:00:00 AM,Thu,Weekday,No,Rail,332538
1/4/2024 12:00:00 AM,Thu,Weekday,No,Bus,357778
1/3/2024 12:00:00 AM,Wed,Weekday,No,Rail,343723
1/3/2024 12:00:00 AM,Wed,Weekday,No,Bus,370942
1/2/2024 12:00:00 AM,Tue,Weekday,No,Rail,285044
1/2/2024 12:00:00 AM,Tue,Weekday,No,Bus,312439
1/1/2024 12:00:00 AM,Mon,Weekday,Yes,Rail,107082
1/1/2024 12:00:00 AM,Mon,Weekday,Yes,Bus,140675
12/31/2023 12:00:00 AM,Sun,Sunday,No,Rail,182766
12/31/2023 12:00:00 AM,Sun,Sunday,No,Bus,171222
12/30/2023 12:00:00 AM,Sat,Saturday,No,Rail,198454
12/30/2023 12:00:00 AM,Sat,Saturday,No,Bus,202527
12/29/2023 12:00:00 AM,Fri,Weekday,No,Rail,248048
12/29/2023 12:00:00 AM,Fri,Weekday,No,Bus,292985
12/28/2023 12:00:00 AM,Thu,Weekday,No,Rail,254965
12/28/2023 12:00:00 AM,Thu,Weekday,No,Bus,284859
12/27/2023 12:00:00 AM,Wed,Weekday,No,Rail,206874
12/27/2023 12:00:00 AM,Wed,Weekday,No,Bus,239350
12/26/2023 12:00:00 AM,Tue,Weekday,No,Rail,185370
12/26/2023 12:00:00 AM,Tue,Weekday,No,Bus,233921
12/25/2023 12:00:00 AM,Mon,Weekday,Yes,Rail,65261
12/25/2023 12:00:00 AM,Mon,Weekday,Yes,Bus,113260
12/24/2023 12:00:00 AM,Sun,Sunday,No,Rail,101840
