,Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,Address
87,K05,East Falls Church,,,OR,SV,,,38.885841,-77.157177,"{'Street': '2001 N Sycamore St', 'City': 'Arlington', 'State': 'VA', 'Zip': '22205'}"
88,K06,West Falls Church,,,OR,,,,38.90067,-77.189394,"{'Street': '7040 Haycock Rd', 'City': 'Falls Church', 'State': 'VA', 'Zip': '22043'}"
89,K07,Dunn Loring-Merrifield,,,OR,,,,38.883015,-77.228939,"{'Street': '2700 Gallows Rd', 'City': 'Vienna', 'State': 'VA', 'Zip': '22180'}"
90,K08,Vienna/Fairfax-GMU,,,OR,,,,38.877693,-77.271562,"{'Street': '9550 Saintsbury Dr', 'City': 'Fairfax', 'State': 'VA', 'Zip': '22031'}"
91,N01,McLean,,,SV,,,,38.924478,-77.210167,"{'Street': '1824 Dolley Madison Boulevard', 'City': 'McLean', 'State': 'VA', 'Zip': '22102'}"
92,N02,Tysons,,,SV,,,,38.920056,-77.223314,"{'Street': '1943 Chain Bridge Road', 'City': 'McLean', 'State': 'VA', 'Zip': '22102'}"
93,N03,Greensboro,,,SV,,,,38.919749,-77.235192,"{'Street': '8305 Leesburg Pike', 'City': 'Vienna', 'State': 'VA', 'Zip': '22182'}"
94,N04,Spring Hill,,,SV,,,,38.929273,-77.241988,"{'Street': '1576 Spring Hill Road', 'City': 'Vienna', 'State': 'VA', 'Zip': '22182'}"
95,N06,Wiehle-Reston East,,,SV,,,,38.947753,-77.340179,"{'Street': '1908 Reston Station Blvd', 'City': 'Reston', 'State': 'VA', 'Zip': '20190'}"
96,N07,Reston Town Center,,,SV,,,,38.952768,-77.360185,"{'Street': '1998 Edmund Halley Drive', 'City': 'Reston', 'State': 'VA', 'Zip': '20191'}"
97,N08,Herndon,,,SV,,,,38.952821,-77.385178,"{'Street': '12530 Sunrise Valley Dr', 'City': 'Herndon', 'State': 'VA', 'Zip': '20191'}"
98,N09,Innovation Center,,,SV,,,,38.960758,-77.415295,"{'Street': '13747-A Sunrise Valley Dr', 'City': 'Herndon', 'State': 'VA', 'Zip': '20171'}"
99,N10,Washington Dulles International Airport,,,SV,,,,38.955784,-77.448148,"{'Street': '44920 Saarinen Circle', 'City': 'Dulles', 'State': 'VA', 'Zip': '20166'}"
100,N11,Loudoun Gateway,,,SV,,,,38.99204,-77.460685,"{'Street': '22505 Lockridge Rd', 'City': 'Ashburn', 'State': 'VA', 'Zip': '20166'}"
101,N12,Ashburn,,,SV,,,,39.005283,-77.491537,"{'Street': '43624 Croson Ln', 'City': 'Ashburn', 'State': 'VA', 'Zip': '20148'}"
